,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
logistic_regression_binary_0.1,logistic_regression,binary,0.1,6.491526842,0.893992933,0.939929329,0.961130742,0.974087161,0.987043581,0.893992933,0.893992933
logistic_regression_binary_1,logistic_regression,binary,1,2.084811211,0.659599529,0.79623086,0.844522968,0.889281508,0.934040047,0.659599529,0.659599529
logistic_regression_binary_10,logistic_regression,binary,10,1.593650103,0.2803298,0.418138987,0.51590106,0.608951708,0.752650177,0.2803298,0.2803298
logistic_regression_binary_100,logistic_regression,binary,100,1.509818792,0.188457008,0.325088339,0.393404005,0.542991755,0.681978799,0.188457008,0.188457008
logistic_regression_binary_1000,logistic_regression,binary,1000,1.541487694,0.081272085,0.163722026,0.236749117,0.32155477,0.440518257,0.081272085,0.081272085
mixed_raw_0,mixed,raw,0,81.94301796,0.895170789,0.930506478,0.950530035,0.963486455,0.978798587,0.895170789,0.895170789
mixed_raw_1e-10,mixed,raw,1.00E-10,117.399189,0.896348645,0.932862191,0.955241461,0.967020024,0.981154299,0.896348645,0.896348645
mixed_raw_1e-09,mixed,raw,1.00E-09,117.2881,0.898704358,0.935217903,0.951707892,0.965842167,0.979976443,0.898704358,0.898704358
mixed_raw_1e-08,mixed,raw,1.00E-08,117.2701719,0.897526502,0.934040047,0.955241461,0.967020024,0.979976443,0.897526502,0.897526502
mixed_raw_1e-07,mixed,raw,1.00E-07,128.5659952,0.89163722,0.932862191,0.949352179,0.963486455,0.978798587,0.89163722,0.89163722
mixed_raw_1e-06,mixed,raw,1.00E-06,181.3680711,0.892815077,0.926972909,0.946996466,0.963486455,0.979976443,0.892815077,0.892815077
mixed_raw_1e-05,mixed,raw,1.00E-05,325.1113341,0.893992933,0.930506478,0.946996466,0.963486455,0.978798587,0.893992933,0.893992933
mixed_raw_0.0001,mixed,raw,0.0001,550.1481421,0.89163722,0.92343934,0.946996466,0.961130742,0.97762073,0.89163722,0.89163722
mixed_raw_0.001,mixed,raw,0.001,636.775326,0.889281508,0.925795053,0.94581861,0.963486455,0.97762073,0.889281508,0.889281508
mixed_raw_0.01,mixed,raw,0.01,648.2072771,0.896348645,0.930506478,0.948174323,0.963486455,0.976442874,0.896348645,0.896348645
mixed_raw_0.1,mixed,raw,0.1,655.6861041,0.883392226,0.926972909,0.943462898,0.961130742,0.976442874,0.883392226,0.883392226
mixed_raw_1,mixed,raw,1,833.163017,0.623085984,0.734982332,0.779740872,0.83745583,0.912838634,0.623085984,0.623085984
mixed_raw_10,mixed,raw,10,4822.376378,0.183745583,0.348645465,0.477031802,0.567726737,0.693757362,0.183745583,0.183745583
mixed_raw_100,mixed,raw,100,13259.58382,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.182567727,0.182567727
mixed_raw_1000,mixed,raw,1000,905.9565351,0.182567727,0.341578327,0.477031802,0.567726737,0.689045936,0.182567727,0.182567727
random_forest_binary_0,random_forest,binary,0,16.25630474,0.780918728,0.876325088,0.916372203,0.943462898,0.967020024,0.782096584,0.782096584
random_forest_binary_1e-10,random_forest,binary,1.00E-10,50.68867517,0.782096584,0.877502945,0.910482921,0.938751472,0.96819788,0.782096584,0.782096584
random_forest_binary_1e-09,random_forest,binary,1.00E-09,50.82980108,0.778563015,0.875147232,0.910482921,0.942285041,0.96819788,0.778563015,0.778563015
random_forest_binary_1e-08,random_forest,binary,1.00E-08,50.95657611,0.780918728,0.875147232,0.908127208,0.941107185,0.969375736,0.779740872,0.779740872
random_forest_binary_1e-07,random_forest,binary,1.00E-07,61.65474415,0.750294464,0.85041225,0.893992933,0.932862191,0.96819788,0.750294464,0.750294464
random_forest_binary_1e-06,random_forest,binary,1.00E-06,114.6771488,0.673733804,0.79623086,0.851590106,0.901060071,0.94581861,0.673733804,0.673733804
random_forest_binary_1e-05,random_forest,binary,1.00E-05,260.5382102,0.661955241,0.792697291,0.839811543,0.899882214,0.950530035,0.661955241,0.661955241
random_forest_binary_0.0001,random_forest,binary,0.0001,484.8030062,0.661955241,0.783274441,0.838633687,0.893992933,0.94581861,0.661955241,0.661955241
random_forest_binary_0.001,random_forest,binary,0.001,571.4950731,0.661955241,0.789163722,0.838633687,0.895170789,0.948174323,0.661955241,0.661955241
random_forest_binary_0.01,random_forest,binary,0.01,582.8387029,0.658421673,0.791519435,0.844522968,0.901060071,0.948174323,0.658421673,0.658421673
random_forest_binary_0.1,random_forest,binary,0.1,583.4731021,0.663133098,0.785630153,0.844522968,0.898704358,0.951707892,0.664310954,0.664310954
random_forest_binary_1,random_forest,binary,1,659.174901,0.313309776,0.471142521,0.537102473,0.676089517,0.811542992,0.313309776,0.313309776
