,Classifier,Preprocessing,Noise,Training_Time_in_sec,Accuracy,Top_2_accuracy,Top_3_accuracy,Top_5_accuracy,Top_10_accuracy,Precision,Recall
gaussianNB_binary_1e-09,gaussianNB,binary,1e-09,0.07572221755981445,0.4809976247030879,0.5593824228028503,0.6104513064133017,0.8836104513064132,1.0,0.4809976247030879,0.4809976247030879
gaussianNB_binary_1e-08,gaussianNB,binary,1e-08,0.07611608505249023,0.4821852731591449,0.5593824228028503,0.6092636579572447,0.8836104513064132,1.0,0.4821852731591449,0.4821852731591449
gaussianNB_binary_1e-07,gaussianNB,binary,1e-07,0.07622790336608887,0.47980997624703087,0.5581947743467933,0.6116389548693587,0.8812351543942993,1.0,0.47980997624703087,0.47980997624703087
gaussianNB_binary_1e-06,gaussianNB,binary,1e-06,0.07589983940124512,0.47862232779097386,0.5546318289786223,0.6116389548693587,0.8812351543942993,1.0,0.47862232779097386,0.47862232779097386
gaussianNB_binary_1e-05,gaussianNB,binary,1e-05,0.07610821723937988,0.47980997624703087,0.5641330166270784,0.6199524940617577,0.8883610451306413,1.0,0.47980997624703087,0.47980997624703087
gaussianNB_binary_0.0001,gaussianNB,binary,0.0001,0.0756521224975586,0.48812351543942994,0.649643705463183,0.7054631828978623,0.9358669833729216,1.0,0.48812351543942994,0.48812351543942994
gaussianNB_binary_0.001,gaussianNB,binary,0.001,0.07560420036315918,0.5807600950118765,0.7422802850356295,0.8087885985748219,0.9394299287410927,1.0,0.5807600950118765,0.5807600950118765
gaussianNB_binary_0.01,gaussianNB,binary,0.01,0.07721805572509766,0.6532066508313539,0.8123515439429929,0.8752969121140143,0.9513064133016627,1.0,0.6532066508313539,0.6532066508313539
gaussianNB_binary_0.1,gaussianNB,binary,0.1,0.07580018043518066,0.5296912114014252,0.7636579572446556,0.8788598574821853,0.9548693586698337,1.0,0.5296912114014252,0.5296912114014252
gaussianNB_binary_1,gaussianNB,binary,1.0,0.07627415657043457,0.2980997624703088,0.44536817102137766,0.7209026128266033,0.9501187648456056,1.0,0.2980997624703088,0.2980997624703088
gaussianNB_binary_10,gaussianNB,binary,10.0,0.07579898834228516,0.0332541567695962,0.03681710213776722,0.055819477434679333,0.32185273159144895,1.0,0.0332541567695962,0.0332541567695962
gaussianNB_binary_100,gaussianNB,binary,100.0,0.07580208778381348,0.0166270783847981,0.03681710213776722,0.055819477434679333,0.32185273159144895,1.0,0.0166270783847981,0.0166270783847981
gaussianNB_binary_1000,gaussianNB,binary,1000.0,0.07567000389099121,0.0166270783847981,0.03681710213776722,0.055819477434679333,0.4477434679334917,1.0,0.0166270783847981,0.0166270783847981
gaussianNB_clr_0,gaussianNB,clr,0.0,0.049697160720825195,0.42755344418052255,0.6223277909738717,0.7529691211401425,0.9358669833729216,1.0,0.42755344418052255,0.42755344418052255
gaussianNB_clr_1e-10,gaussianNB,clr,1e-10,0.04247093200683594,0.42755344418052255,0.6223277909738717,0.7529691211401425,0.9358669833729216,1.0,0.42755344418052255,0.42755344418052255
gaussianNB_clr_1e-09,gaussianNB,clr,1e-09,0.04240107536315918,0.42755344418052255,0.6223277909738717,0.7529691211401425,0.9358669833729216,1.0,0.42755344418052255,0.42755344418052255
gaussianNB_clr_1e-08,gaussianNB,clr,1e-08,0.042340993881225586,0.42755344418052255,0.6223277909738717,0.7529691211401425,0.9358669833729216,1.0,0.42755344418052255,0.42755344418052255
